X,Y
0,56.408
1,55.900
2,56.533
3,56.708
4,55.042
5,54.992
6,55.317
7,55.125
8,54.925
9,54.800
10,55.425
11,55.450
12,54.733
13,55.017
14,55.183
15,55.350
16,54.900
17,54.100
18,54.658
19,55.575
20,55.300
21,54.617
22,54.508
23,54.792
24,54.083
25,53.617
26,54.267
27,54.817
28,55.258
29,55.758
30,55.125
31,54.217
32,53.767
33,54.200
34,54.975
35,54.500
36,54.017
37,53.700
38,54.825
39,54.942
40,54.075
41,53.942
42,54.375
43,54.775
44,54.625
45,54.775
46,54.692
47,54.683
48,54.608
49,54.150
50,54.958
51,55.308
52,54.908
53,54.725
54,53.900
55,54.375
56,53.967
57,52.892
58,53.658
59,54.250
60,53.567
61,52.642
62,53.283
63,53.583
64,52.892
65,53.508
66,53.292
67,52.417
68,52.733
69,53.817
70,53.892
71,52.942
72,52.750
73,52.650
74,52.642
75,52.858
76,52.800
77,52.825
78,53.283
79,53.417
80,53.225
81,53.233
82,52.983
83,52.250
84,53.058
85,53.408
86,53.525
87,53.350
88,52.933
89,53.225
90,53.292
91,54.075
92,55.158
93,55.125
94,55.250
95,54.775
96,54.475
97,54.500
98,54.683
99,54.700
100,54.225
101,53.800
102,52.808
103,52.217
104,51.475
105,51.942
106,51.775
107,51.092
108,51.733
109,52.133
110,51.200
111,51.200
112,51.642
113,51.275
114,50.242
115,50.275
116,51.308
117,51.258
118,50.925
119,50.683
120,50.767
121,51.417
122,51.150
123,50.408
124,50.050
125,50.275
126,50.342
127,50.358
128,50.242
129,49.875
130,50.025
131,49.725
132,49.408
133,49.833
134,50.242
135,50.750
136,51.492
137,51.183
138,51.517
139,51.917
140,52.650
141,52.550
142,52.292
143,52.658
144,52.717
145,53.950
146,55.275
147,54.900
148,55.767
149,55.300
150,54.808
151,54.208
152,52.692
153,52.275
154,51.575
155,51.683
156,51.425
157,51.342
158,51.483
159,51.167
160,50.633
161,50.367
162,49.950
163,49.583
164,49.225
165,49.300
166,48.842
167,48.650
168,49.158
169,48.875
170,48.667
171,49.325
172,49.042
173,48.567
174,48.175
175,48.400
176,48.475
177,48.083
178,48.583
179,48.808
180,47.908
181,47.500
182,47.650
183,47.408
184,47.675
185,48.317
186,48.550
187,47.983
188,47.733
189,48.217
190,48.325
191,48.275
192,49.333
193,50.067
194,50.183
195,50.042
196,51.283
197,51.508
198,54.792
199,56.025
200,54.683
201,54.783
202,54.692
203,54.425
204,55.283
205,55.083
206,54.325
207,54.375
208,54.175
209,53.942
210,54.225
211,54.192
212,54.717
213,55.842
214,56.133
215,56.825
216,60.433
217,61.950
218,68.200
219,71.208
220,75.583
221,77.800
222,82.567
223,83.242
224,84.117
225,82.792
226,79.058
227,76.833
228,70.000
229,67.217
230,61.908
231,60.183
232,57.275
233,56.067
234,53.883
235,53.342
236,52.133
237,51.242
238,49.117
239,49.175
240,49.133
241,48.567
242,49.000
243,48.850
244,47.892
245,47.925
246,47.842
247,47.992
248,47.883
249,48.008
250,49.183
251,49.583
252,50.575
253,51.550
254,52.925
255,53.408
256,55.958
257,57.008
258,59.125
259,60.267
260,65.100
261,67.358
262,70.467
263,72.625
264,76.958
265,78.592
266,84.050
267,85.967
268,90.008
269,91.783
270,95.575
271,99.200
272,109.683
273,114.942
274,129.083
275,136.567
276,153.725
277,160.383
278,168.742
279,168.925
280,158.750
281,150.667
282,135.958
283,129.150
284,119.125
285,112.417
286,94.392
287,86.550
288,71.342
289,68.142
290,64.525
291,63.183
292,60.467
293,58.892
294,55.442
295,54.567
296,51.375
297,49.883
298,48.150
299,48.183
300,46.783
301,46.392
302,47.008
303,46.500
304,45.292
305,45.217
306,45.142
307,44.658
308,44.650
309,45.200
310,46.100
311,46.467
312,47.175
313,47.625
314,48.758
315,49.717
316,51.508
317,51.808
318,52.883
319,54.092
320,56.717
321,57.475
322,60.442
323,62.567
324,68.058
325,70.142
326,73.158
327,75.542
328,80.742
329,83.117
330,89.633
331,92.442
332,99.767
333,103.658
334,112.533
335,117.017
336,125.217
337,128.358
338,135.375
339,138.425
340,145.442
341,149.408
342,154.367
343,156.583
344,165.342
345,168.992
346,175.633
347,175.567
348,168.708
349,160.592
350,144.367
351,139.233
352,145.233
353,146.533
354,137.467
355,126.642
356,88.925
357,77.317
358,62.000
359,59.025
360,55.858
361,55.400
362,53.408
363,52.183
364,50.158
365,49.500
366,48.975
367,48.450
368,46.467
369,45.417
370,43.967
371,43.700
372,43.417
373,43.425
374,42.925
375,43.217
376,42.783
377,42.542
378,43.250
379,42.958
380,42.250
381,42.400
382,42.925
383,42.833
384,42.333
385,43.167
386,43.433
387,42.942
388,43.917
389,44.833
390,45.908
391,46.708
392,49.067
393,49.767
394,51.408
395,53.575
396,56.983
397,57.917
398,62.525
399,64.783
400,68.925
401,71.450
402,78.250
403,80.975
404,86.450
405,89.242
406,95.825
407,98.475
408,104.267
409,106.092
410,108.233
411,109.433
412,110.750
413,111.025
414,113.508
415,114.475
416,117.358
417,118.300
418,121.225
419,123.042
420,125.133
421,126.292
422,132.633
423,137.167
424,147.092
425,152.533
426,166.417
427,170.342
428,175.892
429,175.208
430,169.408
431,160.233
