X,Y
0,40.300
1,40.533
2,40.375
3,40.433
4,40.225
5,39.750
6,40.058
7,40.525
8,40.442
9,39.792
10,39.717
11,40.000
12,39.975
13,39.950
14,39.875
15,39.567
16,39.908
17,40.050
18,39.550
19,39.017
20,39.058
21,39.775
22,40.250
23,40.333
24,40.092
25,39.750
26,39.783
27,39.933
28,39.850
29,39.967
30,40.475
31,40.275
32,39.450
33,39.158
34,38.875
35,39.392
36,39.800
37,39.225
38,39.100
39,39.483
40,39.933
41,39.917
42,39.183
43,39.167
44,39.392
45,39.358
46,39.792
47,39.833
48,39.617
49,39.850
50,40.167
51,39.858
52,39.992
53,39.675
54,39.475
55,39.467
56,39.225
57,39.083
58,38.375
59,38.567
60,38.917
61,38.625
62,38.817
63,39.025
64,38.183
65,37.992
66,38.508
67,38.467
68,38.208
69,38.500
70,38.292
71,38.200
72,38.133
73,37.775
74,38.208
75,38.358
76,37.833
77,37.558
78,38.067
79,38.167
80,38.117
81,38.375
82,38.100
83,37.600
84,38.067
85,38.908
86,38.800
87,38.417
88,39.083
89,39.117
90,39.383
91,39.975
92,39.867
93,39.792
94,40.167
95,40.075
96,40.750
97,40.292
98,40.283
99,40.375
100,39.308
101,39.225
102,38.658
103,38.258
104,38.067
105,38.233
106,37.867
107,37.408
108,37.308
109,37.833
110,37.417
111,36.808
112,36.850
113,37.483
114,37.742
115,37.158
116,36.800
117,36.817
118,37.000
119,37.417
120,37.125
121,36.867
122,36.717
123,36.667
124,37.017
125,36.792
126,36.408
127,36.392
128,36.433
129,36.900
130,36.450
131,36.533
132,36.992
133,36.300
134,36.575
135,37.083
136,37.092
137,37.333
138,37.767
139,37.692
140,38.458
141,38.808
142,38.692
143,38.758
144,39.767
145,39.958
146,40.717
147,40.842
148,41.150
149,41.192
150,40.558
151,40.108
152,39.558
153,39.150
154,38.192
155,38.000
156,37.925
157,38.133
158,37.450
159,37.275
160,37.308
161,36.875
162,36.633
163,37.417
164,37.092
165,35.867
166,35.808
167,35.742
168,34.958
169,35.175
170,35.608
171,35.458
172,35.058
173,34.683
174,34.733
175,35.000
176,35.300
177,35.025
178,35.150
179,35.383
180,35.583
181,35.383
182,34.900
183,34.683
184,34.658
185,35.092
186,35.083
187,35.300
188,35.258
189,35.150
190,35.850
191,35.892
192,36.400
193,37.117
194,38.558
195,38.408
196,38.908
197,39.842
198,42.058
199,42.383
200,41.967
201,42.100
202,42.533
203,41.850
204,41.158
205,41.517
206,41.167
207,41.467
208,42.075
209,41.517
210,41.883
211,42.408
212,42.583
213,43.525
214,45.375
215,46.317
216,49.083
217,50.650
218,55.258
219,57.325
220,61.475
221,62.775
222,64.925
223,65.542
224,66.533
225,65.700
226,62.542
227,60.592
228,56.842
229,54.342
230,49.592
231,47.767
232,44.192
233,43.850
234,41.525
235,40.550
236,39.392
237,38.900
238,38.142
239,37.683
240,36.983
241,37.408
242,37.150
243,36.542
244,35.908
245,36.192
246,36.508
247,36.850
248,37.517
249,37.525
250,38.275
251,39.042
252,40.550
253,40.967
254,42.700
255,43.400
256,45.433
257,47.017
258,49.133
259,50.525
260,54.175
261,55.375
262,58.900
263,61.250
264,65.050
265,66.983
266,72.250
267,74.750
268,82.483
269,87.242
270,97.525
271,102.133
272,114.392
273,120.717
274,132.117
275,135.350
276,142.075
277,142.617
278,140.375
279,138.850
280,136.958
281,133.308
282,120.525
283,111.600
284,93.625
285,88.292
286,77.725
287,72.967
288,61.075
289,57.283
290,51.517
291,49.833
292,46.983
293,45.675
294,42.125
295,40.858
296,38.792
297,38.300
298,36.725
299,36.542
300,36.400
301,36.092
302,35.450
303,34.900
304,34.725
305,34.575
306,34.675
307,34.900
308,34.658
309,34.900
310,35.425
311,35.767
312,37.192
313,37.917
314,38.875
315,39.383
316,41.367
317,41.875
318,44.042
319,45.400
320,48.225
321,50.108
322,54.075
323,55.958
324,59.650
325,62.025
326,66.783
327,68.900
328,76.275
329,79.767
330,86.708
331,90.200
332,97.908
333,100.067
334,104.492
335,107.942
336,114.833
337,118.275
338,126.542
339,129.817
340,138.408
341,141.842
342,147.650
343,151.067
344,155.108
345,151.775
346,147.175
347,146.883
348,148.900
349,148.025
350,140.467
351,131.175
352,105.708
353,96.642
354,85.950
355,83.267
356,73.817
357,67.508
358,52.500
359,49.383
360,45.800
361,44.942
362,43.567
363,43.075
364,40.950
365,39.308
366,36.425
367,35.967
368,36.158
369,36.075
370,34.592
371,33.892
372,33.817
373,33.850
374,33.633
375,33.342
376,32.750
377,32.550
378,32.567
379,32.792
380,32.692
381,32.792
382,32.408
383,32.308
384,32.858
385,33.158
386,34.317
387,35.050
388,36.467
389,37.050
390,38.550
391,39.617
392,42.608
393,43.867
394,46.433
395,47.983
396,51.850
397,53.608
398,57.042
399,59.400
400,64.633
401,66.325
402,70.217
403,72.425
404,76.083
405,78.017
406,83.867
407,86.825
408,93.050
409,95.342
410,99.167
411,100.992
412,105.908
413,108.317
414,114.283
415,116.233
416,120.350
417,123.100
418,130.183
419,133.133
420,138.575
421,141.108
422,145.983
423,149.117
424,153.650
425,151.567
426,143.350
427,138.717
428,134.917
429,134.625
430,136.175
431,136.183
432,134.117
433,129.200
434,112.617
435,103.850
436,90.467
437,87.583
438,84.500
439,83.875
440,80.917
441,76.867
442,61.117
443,55.525
444,46.175
445,44.483
446,42.442
447,41.600
448,40.283
449,39.492
450,37.675
451,36.983
452,35.167
453,34.192
454,32.783
455,32.808
456,32.050
457,31.383
458,31.508
459,31.858
460,30.550
461,30.000
462,29.892
463,29.975
464,30.017
465,29.900
466,29.258
467,29.150
468,29.258
469,29.542
470,30.100
471,30.100
472,29.792
473,29.817
474,30.458
475,31.133
476,31.850
477,32.000
478,32.867
479,33.708
480,35.308
481,35.725
482,37.567
483,39.100
484,41.125
485,41.767
486,43.358
487,44.717
488,47.767
489,48.417
490,50.333
491,51.417
492,54.183
493,55.292
494,57.725
495,59.325
496,61.483
497,63.375
498,68.308
499,69.717
500,73.575
501,75.767
502,79.975
503,82.108
504,86.658
505,88.442
506,91.917
507,93.842
508,97.750
509,99.625
510,103.600
511,105.025
