X,Y
0,55.992
1,55.042
2,54.442
3,54.975
4,55.083
5,54.942
6,55.342
7,55.042
8,54.275
9,54.458
10,54.742
11,54.800
12,54.083
13,54.133
14,54.583
15,54.275
16,54.942
17,55.208
18,54.842
19,55.117
20,54.625
21,54.233
22,54.792
23,54.625
24,54.083
25,54.092
26,54.658
27,54.650
28,54.675
29,54.325
30,54.475
31,54.458
32,54.375
33,55.292
34,55.608
35,54.767
36,54.825
37,55.025
38,54.642
39,54.258
40,53.600
41,54.425
42,54.708
43,54.658
44,54.533
45,54.617
46,55.108
47,54.550
48,54.558
49,55.017
50,53.900
51,53.117
52,54.067
53,54.492
54,54.633
55,54.050
56,53.442
57,53.200
58,52.967
59,53.025
60,53.242
61,53.075
62,53.058
63,53.842
64,53.633
65,53.242
66,52.600
67,52.475
68,52.517
69,53.033
70,53.250
71,52.792
72,52.700
73,52.725
74,52.842
75,52.933
76,53.975
77,53.600
78,51.975
79,51.350
80,52.008
81,52.375
82,51.667
83,51.475
84,52.475
85,52.442
86,52.358
87,51.917
88,52.333
89,53.933
90,53.933
91,53.642
92,54.475
93,55.092
94,54.517
95,53.850
96,54.108
97,55.000
98,54.700
99,53.517
100,53.442
101,53.583
102,52.950
103,51.758
104,51.317
105,51.633
106,51.133
107,50.875
108,51.433
109,51.933
110,51.183
111,51.092
112,50.458
113,50.133
114,51.025
115,50.792
116,50.608
117,50.517
118,50.283
119,49.483
120,49.608
121,50.292
122,49.525
123,49.717
124,50.775
125,50.842
126,50.325
127,50.025
128,49.775
129,49.450
130,49.283
131,49.433
132,49.667
133,50.075
134,50.925
135,50.792
136,50.633
137,50.525
138,50.667
139,51.242
140,51.783
141,51.950
142,52.800
143,52.775
144,53.508
145,54.542
146,55.533
147,54.975
148,54.433
149,54.617
150,54.908
151,54.650
152,53.458
153,52.683
154,51.142
155,50.833
156,51.433
157,51.875
158,51.058
159,50.658
160,51.008
161,50.808
162,50.217
163,49.492
164,49.392
165,49.158
166,48.508
167,49.058
168,48.642
169,47.925
170,47.733
171,47.767
172,47.358
173,47.333
174,47.300
175,47.350
176,47.750
177,47.792
178,47.392
179,47.433
180,47.808
181,47.708
182,47.600
183,47.158
184,47.083
185,47.742
186,47.833
187,47.642
188,48.225
189,48.167
190,47.892
191,47.758
192,48.775
193,49.142
194,49.375
195,50.142
196,51.083
197,52.125
198,55.558
199,55.692
200,54.225
201,53.475
202,54.158
203,54.542
204,54.983
205,55.133
206,54.400
207,54.733
208,54.725
209,54.142
210,54.208
211,54.700
212,54.858
213,55.333
214,57.658
215,58.492
216,61.758
217,63.725
218,68.733
219,71.183
220,77.083
221,79.800
222,83.458
223,83.700
224,86.242
225,85.433
226,80.892
227,78.350
228,71.117
229,67.708
230,61.867
231,60.525
232,57.175
233,56.617
234,53.792
235,52.092
236,50.542
237,50.408
238,49.417
239,48.542
240,48.558
241,48.900
242,49.525
243,49.333
244,47.992
245,47.908
246,47.225
247,47.433
248,47.800
249,47.850
250,48.717
251,49.217
252,51.358
253,52.008
254,54.017
255,54.533
256,56.142
257,57.392
258,60.642
259,62.325
260,65.358
261,67.467
262,71.967
263,74.317
264,79.150
265,80.783
266,85.233
267,87.408
268,93.783
269,96.550
270,102.233
271,105.458
272,115.625
273,121.758
274,136.575
275,143.683
276,160.342
277,166.308
278,171.650
279,170.650
280,160.158
281,152.025
282,137.308
283,130.250
284,118.242
285,111.275
286,92.458
287,85.183
288,71.975
289,68.617
290,64.267
291,62.767
292,59.650
293,58.500
294,55.217
295,53.958
296,51.608
297,50.258
298,47.200
299,46.825
300,45.875
301,45.450
302,45.600
303,45.575
304,44.867
305,45.008
306,45.992
307,45.917
308,44.900
309,44.783
310,45.600
311,46.408
312,47.067
313,47.633
314,48.975
315,49.375
316,51.167
317,51.817
318,53.267
319,54.417
320,57.200
321,58.475
322,62.392
323,64.417
324,69.408
325,72.183
326,76.267
327,78.200
328,83.475
329,86.508
330,93.542
331,96.125
332,104.733
333,108.675
334,115.375
335,119.517
336,128.033
337,131.875
338,139.100
339,142.492
340,151.050
341,154.333
342,160.592
343,164.250
344,172.183
345,172.725
346,176.933
347,176.583
348,169.117
349,161.842
350,150.950
351,147.475
352,148.508
353,146.283
354,131.208
355,119.983
356,86.750
357,77.100
358,63.058
359,60.908
360,57.200
361,55.350
362,52.850
363,52.433
364,50.433
365,50.083
366,48.742
367,47.042
368,45.108
369,44.625
370,43.983
371,43.767
372,43.308
373,43.250
374,43.250
375,43.117
376,42.683
377,43.250
378,42.192
379,41.550
380,41.742
381,41.433
382,41.967
383,42.308
384,42.500
385,42.642
386,42.608
387,42.858
388,44.292
389,44.450
390,46.300
391,47.925
392,49.583
393,50.675
394,53.042
395,54.475
396,57.958
397,59.408
398,63.992
399,66.367
400,72.117
401,75.117
402,80.792
403,83.492
404,90.083
405,92.850
406,98.450
407,100.867
408,106.275
409,108.092
410,112.042
411,113.525
412,114.608
413,115.808
414,118.008
415,118.483
416,121.508
417,122.983
418,126.217
419,127.833
420,132.675
421,134.417
422,139.958
423,144.267
424,155.717
425,161.108
426,171.442
427,173.650
428,176.283
429,174.775
430,166.558
431,159.608
432,140.733
433,132.292
434,126.367
435,126.525
436,126.150
437,123.025
438,112.642
439,105.592
440,83.842
441,75.517
442,60.225
443,56.458
444,53.650
445,54.208
446,53.183
447,51.942
448,49.975
449,49.642
450,48.250
451,47.575
452,46.067
453,45.258
454,43.617
455,43.008
456,41.717
457,40.892
458,39.908
459,39.600
460,38.167
461,38.133
462,37.958
463,38.383
464,39.067
465,38.650
466,38.358
467,38.358
468,37.842
469,37.517
470,37.650
471,37.842
472,37.950
473,37.925
474,37.725
475,37.692
476,38.542
477,39.375
478,40.583
479,40.533
480,41.433
481,42.242
482,43.592
483,44.367
484,46.592
485,47.625
486,49.400
487,50.633
488,52.567
489,53.775
490,57.592
491,59.208
492,60.542
493,61.758
494,65.742
495,66.867
496,71.400
497,72.692
498,74.050
499,75.300
500,78.692
501,80.542
502,84.017
503,85.633
504,89.592
505,91.258
506,93.883
507,94.725
508,96.900
509,98.583
510,102.400
511,103.933
512,108.700
513,110.733
514,112.842
515,113.850
516,117.675
517,119.467
518,125.742
519,128.625
520,134.458
521,137.875
522,144.417
523,146.483
524,152.642
525,156.508
526,164.933
527,166.950
528,168.767
529,169.583
530,173.642
531,173.492
532,177.392
533,178.042
534,180.975
535,181.675
536,184.150
537,184.150
538,182.925
539,182.058
540,176.192
541,174.408
542,162.225
543,155.092
544,140.142
545,134.408
546,130.017
547,128.592
548,131.517
549,131.833
550,130.967
551,129.167
552,118.308
553,113.583
554,103.650
555,97.975
556,79.792
557,73.450
558,62.975
559,60.225
560,55.083
561,53.283
562,52.367
563,52.383
564,50.117
565,49.558
566,49.383
567,48.925
568,46.517
569,45.958
570,45.867
571,45.667
572,44.925
573,44.333
574,43.358
575,42.708
576,40.908
577,40.833
578,39.667
579,38.883
580,37.842
581,37.567
582,36.708
583,35.850
584,34.875
585,34.975
586,34.708
587,34.433
588,33.992
589,33.500
590,32.683
591,32.733
592,33.225
593,33.283
594,32.725
595,32.767
596,33.217
597,32.842
598,33.250
599,33.525
600,32.083
601,31.833
602,32.942
603,32.967
604,32.742
605,32.600
606,32.408
607,32.658
608,31.933
609,31.983
610,32.475
611,32.242
612,32.392
613,32.533
614,32.375
615,32.767
616,35.900
617,35.825
618,34.292
619,34.975
620,35.742
621,35.967
622,36.883
623,37.125
624,38.608
625,39.725
626,39.883
627,40.658
628,42.883
629,42.842
630,43.758
631,44.333
632,46.125
633,47.325
634,49.258
635,49.750
636,50.225
637,51.083
638,52.767
639,53.717
640,55.242
641,55.558
642,56.250
643,57.075
644,58.667
645,59.200
646,59.942
647,60.333
648,62.150
649,62.567
650,63.625
651,64.242
652,64.800
653,65.067
654,66.225
655,66.733
656,68.175
657,68.958
658,70.900
659,71.442
660,72.625
661,73.817
662,75.400
663,75.883
664,77.133
665,77.417
666,78.492
667,79.250
668,80.567
669,80.917
670,81.567
671,81.592
672,81.200
673,81.408
674,83.650
675,83.500
676,83.758
677,84.017
678,84.592
679,85.525
680,86.008
681,85.992
682,86.867
683,86.892
684,86.825
685,86.942
686,88.342
687,89.508
688,90.075
689,89.392
690,91.142
691,92.200
692,92.400
693,92.542
694,93.992
695,93.883
696,95.267
697,96.358
698,96.108
699,96.250
700,97.417
701,97.658
702,98.183
703,98.525
704,101.508
705,101.933
706,101.858
707,102.333
708,101.800
709,101.367
710,102.533
711,103.367
712,103.708
713,104.267
714,104.500
715,103.800
716,103.458
717,103.667
718,104.367
719,104.583
720,104.650
721,105.200
722,106.100
723,107.050
724,107.467
725,107.200
726,107.558
727,107.217
728,108.025
729,107.758
730,107.467
731,107.733
732,108.933
733,109.083
734,108.650
735,108.508
736,109.300
737,109.933
738,109.133
739,109.008
740,107.975
741,108.158
742,109.425
743,109.367
744,109.392
745,108.742
746,109.567
747,110.108
748,110.242
749,109.433
750,108.017
751,108.525
752,108.600
753,108.358
754,107.300
755,107.317
756,106.750
757,106.525
758,106.075
759,105.750
760,105.250
761,105.108
762,105.183
763,105.292
764,105.250
765,104.392
766,104.392
767,104.458
768,104.550
769,104.125
770,103.575
771,103.717
772,102.508
773,102.050
774,101.950
775,101.500
776,100.733
777,100.417
778,99.725
779,99.483
780,98.358
781,98.033
782,97.150
783,96.533
784,95.975
785,96.025
786,95.083
787,94.150
788,94.092
789,93.750
790,93.350
791,93.367
792,90.792
793,90.283
794,89.325
795,88.733
796,89.033
797,89.092
798,88.925
799,88.600
800,87.150
801,86.750
802,86.283
803,86.175
804,85.875
805,85.858
806,84.567
807,83.883
808,83.833
809,83.875
810,84.233
811,83.617
812,81.808
813,81.625
814,80.642
815,79.983
816,79.075
817,78.892
818,76.825
819,76.192
820,76.342
821,76.133
822,75.850
823,75.617
824,74.317
825,73.533
826,72.242
827,72.475
828,72.475
829,71.908
830,68.983
831,67.983
832,67.400
833,67.458
834,65.842
835,65.067
836,64.667
837,64.533
838,63.342
839,62.883
840,61.808
841,61.158
842,60.417
843,59.817
844,58.558
845,58.417
846,57.383
847,56.558
848,54.992
849,54.458
850,53.883
851,53.358
852,51.942
853,51.250
854,49.467
855,48.675
856,47.725
857,47.167
858,45.200
859,44.108
860,42.358
861,41.825
862,40.250
863,39.125
864,37.992
865,37.792
866,35.958
867,34.767
868,33.742
869,32.900
870,31.317
871,31.108
872,30.350
873,29.733
874,27.900
875,27.108
876,26.650
877,26.167
878,25.808
879,25.533
880,24.625
881,24.508
882,23.433
883,23.083
884,22.992
885,22.642
886,22.017
887,21.692
888,21.150
889,21.267
890,20.942
891,20.583
892,20.675
893,20.600
894,20.975
895,21.317
896,20.758
897,20.467
898,21.317
899,21.342
900,21.550
901,21.750
902,21.392
903,21.275
904,21.267
905,21.350
906,21.808
907,22.058
908,22.183
909,22.075
910,21.492
911,21.633
912,22.183
913,21.958
914,21.625
915,21.817
916,22.783
917,22.708
918,23.000
919,23.467
920,23.442
921,23.775
922,25.192
923,25.425
924,26.292
925,26.717
926,27.642
927,28.167
928,29.450
929,29.733
930,30.483
931,31.000
932,31.942
933,32.517
934,34.092
935,34.625
936,34.867
937,34.775
938,36.167
939,36.858
940,38.650
941,38.967
942,40.400
943,41.592
944,43.500
945,45.167
946,51.725
947,54.392
948,65.067
949,70.742
950,84.217
951,89.442
952,100.250
953,103.267
954,109.917
955,112.858
956,115.733
957,116.633
958,118.600
959,121.117
960,126.417
961,130.867
962,139.725
963,146.733
964,160.117
965,163.192
966,169.575
967,170.058
968,169.867
969,169.800
970,167.400
971,166.633
972,156.075
973,151.292
974,142.017
975,137.692
976,129.533
977,126.108
978,120.625
979,118.400
980,113.483
981,111.625
982,107.325
983,105.283
984,99.850
985,97.958
986,94.658
987,92.275
988,88.717
989,87.550
990,84.633
991,83.383
992,81.350
993,80.558
994,77.575
995,76.500
996,74.158
997,73.342
998,71.142
999,69.367
1000,65.867
1001,64.225
1002,60.750
1003,58.975
1004,55.467
1005,53.833
1006,50.975
1007,49.492
1008,47.275
1009,46.083
1010,43.383
1011,41.975
1012,39.150
1013,38.492
1014,36.417
