X,Y
0,14.8889
1,14.9883
2,14.9240
3,15.1871
4,15.0409
5,15.4854
6,15.5965
7,15.7076
8,15.8421
9,15.9708
10,15.8012
11,15.8947
12,16.1053
13,16.0409
14,16.1228
15,16.1930
16,16.0234
17,15.4854
18,15.6199
19,15.3918
20,15.0000
21,14.7485
22,14.7485
23,14.5848
24,14.6842
25,14.6257
26,14.5673
27,14.4211
28,14.6316
29,14.5088
30,14.1462
31,14.1404
32,14.1871
33,14.1871
34,14.4211
35,14.5205
36,14.3918
37,14.7076
38,14.9591
39,14.8772
40,14.5614
41,14.8889
42,14.8655
43,15.0351
44,14.9357
45,15.3743
46,15.5322
47,15.7135
48,15.9181
49,16.2749
50,16.1637
51,15.8129
52,15.8830
53,16.0000
54,15.8830
55,15.6667
56,15.8012
57,15.5205
58,15.3275
59,14.8889
60,14.8012
61,14.6901
62,14.7836
63,14.5439
64,14.4444
65,14.2573
66,14.1988
67,14.1988
68,14.1170
69,14.2164
70,14.3333
71,14.2924
72,14.1754
73,14.1871
74,14.2573
75,14.2632
76,14.2690
77,14.2573
78,14.1053
79,14.3626
80,14.5146
81,14.9123
82,14.8889
83,15.4152
84,15.3860
85,15.7953
86,15.8538
87,16.3041
88,16.3860
89,16.8772
90,17.0000
91,16.5848
92,16.4854
93,16.1579
94,15.8304
95,15.9006
96,15.9649
97,15.7251
98,15.7427
99,15.4327
100,15.4912
101,14.9649
102,14.5614
103,14.3216
104,14.5439
105,14.9006
106,14.9123
107,14.7485
108,14.8363
109,15.0468
110,15.0877
111,14.9415
112,14.8596
113,15.1287
114,15.1462
115,14.8421
116,14.8304
117,15.2690
118,15.0292
119,15.1345
120,15.3216
121,15.7193
122,15.4620
123,15.9064
124,16.3801
125,16.9708
126,16.6842
127,17.4737
128,17.6082
129,17.9298
130,18.1053
131,18.8830
132,18.9766
133,18.9532
134,18.6901
135,18.7427
136,18.9298
137,19.2807
138,19.3041
139,19.2690
140,19.1111
141,19.8655
142,20.5614
143,21.5146
144,21.0936
145,23.3450
146,23.6433
147,27.0760
148,27.5906
149,32.3275
150,32.6257
151,38.4152
152,39.3743
153,46.2222
154,46.4912
155,52.9766
156,53.7602
157,57.9474
158,58.3801
159,60.7602
160,60.8772
161,62.9415
162,62.9240
163,62.7953
164,62.9942
165,58.1228
166,57.0351
167,49.2749
168,48.4269
169,40.5380
170,40.1170
171,34.5263
172,33.7778
173,31.1404
174,31.0526
175,30.5439
176,30.7719
177,31.5848
178,31.5848
179,33.3977
180,33.4503
181,35.5789
182,35.8480
183,38.0819
184,38.3801
185,40.9474
186,41.5263
187,44.8655
188,44.8363
189,47.9649
190,48.3158
191,54.5322
192,55.5322
193,64.2515
194,65.0526
195,75.6023
196,76.6550
197,85.0351
198,85.7076
199,88.2164
200,87.7485
201,84.4503
202,84.2105
203,79.9240
204,79.8246
205,77.7895
206,77.2749
207,74.3392
208,73.8187
209,64.3158
210,62.9474
211,49.1287
212,48.1404
213,38.9006
214,38.3041
215,34.0234
216,33.7076
217,32.4035
218,32.0585
219,32.4737
220,33.0234
221,34.0409
222,33.7953
223,35.4269
224,35.5673
225,36.3684
226,36.7602
227,37.6842
228,37.5556
229,38.1754
230,38.1754
231,40.3918
232,40.8889
233,44.6316
234,44.8772
235,50.1696
236,50.9181
237,55.6725
238,56.1170
239,62.6140
240,63.4094
241,71.0409
242,71.6257
243,80.1520
244,81.1111
245,88.8421
246,89.4386
247,93.9298
248,93.7661
249,88.9766
250,88.0877
251,77.8830
252,77.0585
253,72.0585
254,71.9708
255,70.8187
256,70.5673
257,69.8304
258,69.8772
259,63.7778
260,62.4795
261,51.5029
262,50.5263
263,41.6082
264,40.7895
265,36.7076
266,36.7778
267,35.1345
268,34.8187
269,33.5848
270,33.2281
271,32.9181
272,32.8129
273,33.3626
274,33.6550
275,34.4211
276,34.5789
277,35.7661
278,35.9064
279,37.5556
280,37.6608
281,39.4152
282,39.4971
283,41.6433
284,41.8830
285,45.1754
286,45.4971
287,48.9357
288,49.1696
289,53.5263
290,54.1520
291,58.1345
292,58.7193
293,64.5439
294,64.8889
295,70.3567
296,71.1287
297,76.9064
298,77.4971
299,85.6959
300,86.4152
301,93.1988
302,93.3626
303,94.8421
304,95.1287
305,89.5205
306,88.4737
307,79.9240
308,79.1637
309,73.3158
310,72.9649
311,70.9006
312,71.0643
313,71.8538
314,72.1345
315,72.5497
316,72.1345
317,67.1520
318,66.2047
319,56.2281
320,55.4561
321,46.0585
322,44.9591
323,39.5965
324,39.3801
325,36.6433
326,36.3275
327,34.4737
328,34.4971
329,34.0000
330,33.6667
331,33.4912
332,33.7310
333,34.3743
334,34.3275
335,35.0877
336,35.2749
337,37.2222
338,37.1930
339,38.0468
340,38.2222
341,39.8713
342,40.0819
343,41.6433
344,41.6023
345,43.1871
346,43.6433
347,45.7544
348,45.8012
349,48.4444
350,48.7661
351,52.3392
352,52.8947
353,57.5497
354,58.1579
355,63.3509
356,64.0292
357,68.9708
358,69.1637
359,74.5906
360,75.2047
361,81.1111
362,81.8713
363,88.4386
364,88.6316
365,93.2456
366,93.7778
367,97.0994
368,97.4035
369,95.0000
370,93.9240
371,86.8421
372,86.3918
373,78.3977
374,77.5497
375,72.3567
376,71.8012
377,70.1930
378,70.5906
379,71.1053
380,70.9591
381,71.7427
382,71.5497
383,70.1287
384,70.0292
385,63.9415
386,63.4269
387,54.8012
388,54.0000
389,46.5731
390,45.4327
391,39.7193
392,39.5906
393,37.6667
394,37.4620
395,35.6667
396,35.3567
397,34.4035
398,34.3743
399,33.8012
400,33.5731
401,34.0000
402,34.2105
403,35.0936
404,35.1871
405,35.6550
406,36.0526
407,37.5380
408,37.4678
409,38.6550
410,38.8012
411,40.0117
412,40.0819
413,41.0468
414,41.1053
415,42.1287
416,42.3567
417,43.4678
418,43.6082
419,45.5380
420,45.2749
421,48.3450
422,49.0292
423,51.4561
424,51.8129
425,55.9766
426,56.3333
427,61.3392
428,61.8830
429,65.5614
430,66.1228
431,70.1988
432,70.3801
433,74.1813
434,74.6199
435,78.6082
436,79.0760
437,82.9357
438,83.4678
439,87.0351
440,87.0234
441,90.4444
442,91.1053
443,94.9649
444,94.9532
445,96.4795
446,96.5965
447,97.1579
448,97.2866
449,93.3041
450,92.7076
451,86.5731
452,85.7778
453,79.0819
454,78.3450
455,73.9474
456,73.6433
457,71.3275
458,71.3977
459,70.7661
460,70.3743
461,70.9708
462,71.1637
463,71.0292
464,71.2690
465,72.4444
466,72.3801
467,71.3216
468,71.2339
469,68.3158
470,67.9181
471,62.1228
472,61.2632
473,54.7719
474,54.2281
475,48.0936
476,47.3743
477,43.4269
478,43.0351
479,40.6257
480,40.6257
481,39.0760
482,38.6667
483,37.7895
484,37.9240
485,36.7485
486,36.2807
487,35.9357
488,36.3626
489,35.7485
490,35.5029
491,35.8830
492,35.6842
493,35.6374
494,35.8363
495,36.5088
496,36.5789
497,37.0000
498,37.1462
499,37.5088
500,37.8187
501,38.8012
502,38.2398
503,38.6842
504,38.9298
505,39.7953
506,40.0175
507,40.6433
508,40.5439
509,41.6959
510,42.0234
511,42.4912
512,42.3977
513,43.4795
514,43.7953
515,45.0000
516,45.0058
517,46.5205
518,46.6725
519,48.6842
520,48.7368
521,50.7368
522,51.0058
523,53.1520
524,53.2339
525,55.2632
526,55.7953
527,57.7135
528,57.5906
529,60.4444
530,60.8480
531,63.2982
532,63.8070
533,66.7836
534,66.9415
535,69.1228
536,69.1871
537,72.3099
538,72.4795
539,73.9123
540,74.4678
541,77.1228
542,76.9474
543,78.6257
544,78.6784
545,80.3977
546,81.0351
547,81.9825
548,81.7602
549,83.6140
550,84.0994
551,85.8772
552,86.1520
553,87.6901
554,87.5146
555,88.5965
556,88.9474
557,90.7368
558,90.8830
559,92.1520
560,92.1287
561,93.6433
562,93.6842
563,93.4561
564,93.4737
565,92.9708
566,92.7661
567,92.0292
568,92.1637
569,90.8070
570,90.4912
571,88.0059
572,87.7778
573,84.7836
574,84.3977
575,81.5029
576,81.3918
577,79.0351
578,78.4620
579,75.4971
580,75.3216
581,73.3450
582,73.3392
583,71.3099
584,70.9708
585,70.2749
586,70.0058
587,69.5205
588,69.5731
589,68.3450
590,68.5205
591,68.1696
592,68.3392
593,68.7076
594,68.4444
595,67.8713
596,67.6374
597,68.1287
598,68.6550
599,69.2281
600,68.7778
601,69.0468
602,69.3509
603,68.7076
604,68.4211
605,68.2632
606,68.3041
607,68.2807
608,68.2807
609,68.1579
610,68.1053
611,66.3977
612,66.0526
613,66.0526
614,66.1170
615,64.6667
616,64.6491
617,63.1696
618,62.8596
619,61.5789
620,61.4561
621,59.8012
622,59.5965
623,58.0936
624,57.9883
625,55.7310
626,55.7018
627,53.8363
628,53.0936
629,51.1696
630,51.0702
631,49.6608
632,49.3450
633,48.0058
634,48.1520
635,46.6023
636,46.3743
637,45.3158
638,45.0936
639,43.6433
640,43.4503
641,42.1754
642,41.9883
643,41.4035
644,41.3275
645,40.5205
646,40.6725
647,39.7661
648,39.6023
649,38.9415
650,38.7661
651,37.9474
652,38.1228
653,37.4678
654,37.3158
655,36.7135
656,36.6023
657,36.3216
658,36.5263
659,36.0409
660,35.8480
661,35.2105
662,35.1287
663,34.8713
664,34.6199
665,34.3216
666,34.4269
667,34.0643
668,33.8070
669,33.1988
670,33.3684
671,32.9357
672,32.9532
673,33.4094
674,33.3918
675,33.1813
676,33.0058
677,32.2105
678,32.2749
679,32.5380
680,32.4795
681,31.8889
682,31.7251
683,31.5906
684,31.6082
685,31.7251
686,31.7602
687,31.4386
688,31.5205
689,31.2164
690,31.0702
691,31.0000
692,31.0643
693,31.2924
694,31.3041
695,31.4152
696,31.3567
697,30.9591
698,31.0468
699,30.9415
700,30.5029
701,30.2690
702,30.5614
703,30.7427
704,30.6667
705,30.7193
706,30.8421
707,30.8538
708,30.6667
709,30.4269
710,30.6374
711,30.6959
712,30.5088
713,30.5673
714,30.6140
715,31.0351
716,30.9825
717,30.6023
718,30.7544
719,30.9766
720,30.9357
721,31.0175
722,31.2515
723,31.5088
724,31.3158
725,31.6842
726,31.8246
727,31.5439
728,31.3977
729,31.9942
730,32.0702
731,32.2164
732,32.2105
733,32.5614
734,32.6842
735,33.3216
736,33.2047
737,33.1813
738,33.2456
739,33.5439
740,33.7018
741,33.7368
742,33.7661
743,34.2632
744,34.2105
745,34.9123
746,34.9883
747,35.8421
748,35.8070
749,36.2398
750,36.3216
751,37.0117
752,36.9883
753,37.9591
754,38.1520
755,38.8363
756,38.9181
757,40.1579
758,40.2105
759,40.9240
760,41.0585
761,42.1579
762,42.2456
763,43.5088
764,43.5673
765,45.6374
766,46.1228
767,48.2222
768,48.1871
769,49.4503
770,49.5497
771,51.0585
772,51.2456
773,52.5789
774,52.5673
775,54.8596
