466.02	1099.55
466.24	1099.55
466.45	1099.55
466.67	1089.31
466.89	1138.26
467.10	1127.41
467.32	1101.19
467.53	1130.07
467.75	1105.90
467.96	1123.52
468.18	1121.88
468.40	1098.12
468.61	1125.56
468.83	1102.01
469.04	1128.23
469.26	1099.35
469.47	1118.81
469.69	1106.52
469.90	1123.52
470.12	1106.31
470.34	1123.93
470.55	1115.94
470.77	1117.17
470.98	1096.07
471.20	1117.37
471.41	1109.59
471.63	1114.10
471.84	1107.54
472.06	1120.24
472.27	1091.98
472.49	1112.66
472.70	1105.08
472.92	1125.77
473.14	1108.16
473.35	1111.84
473.57	1108.77
473.78	1125.77
474.00	1097.71
474.21	1093.41
474.43	1092.18
474.64	1115.53
474.86	1094.84
475.07	1129.05
475.29	1119.21
475.50	1089.52
475.72	1119.62
475.93	1120.24
476.15	1105.90
476.36	1127.82
476.58	1090.75
476.79	1119.01
477.01	1109.18
477.22	1121.88
477.44	1112.05
477.65	1127.82
477.87	1121.26
478.08	1112.25
478.30	1097.71
478.51	1138.06
478.73	1117.99
478.94	1119.42
479.16	1121.88
479.37	1130.27
479.59	1092.18
479.80	1116.96
480.02	1093.41
480.23	1129.05
480.45	1101.81
480.66	1118.19
480.88	1103.45
481.09	1115.73
481.30	1097.10
481.52	1136.42
481.73	1080.92
481.95	1114.10
482.16	1110.41
482.38	1124.13
482.59	1137.85
482.81	1134.98
483.02	1123.11
483.24	1135.19
483.45	1108.98
483.66	1125.56
483.88	1113.69
484.09	1126.18
484.31	1119.01
484.52	1115.94
484.74	1099.55
484.95	1112.66
485.17	1106.52
485.38	1102.63
485.59	1113.48
485.81	1139.69
486.02	1139.69
486.24	1117.37
486.45	1109.59
486.67	1116.14
486.88	1100.17
487.09	1102.01
487.31	1121.88
487.52	1130.68
487.74	1115.94
487.95	1110.41
488.17	1116.55
488.38	1130.07
488.59	1099.76
488.81	1105.29
489.02	1113.89
489.24	1115.53
489.45	1104.06
489.66	1126.59
489.88	1132.32
490.09	1123.31
490.31	1094.43
490.52	1127.41
490.73	1125.77
490.95	1127.82
491.16	1110.82
491.37	1120.44
491.59	1118.81
491.80	1140.92
492.02	1088.70
492.23	1111.64
492.44	1102.22
492.66	1126.38
492.87	1121.47
493.09	1110.61
493.30	1120.65
493.51	1132.94
493.73	1111.64
493.94	1132.94
494.15	1099.55
494.37	1141.33
494.58	1095.87
494.79	1103.86
495.01	1109.18
495.22	1142.77
495.44	1104.06
495.65	1116.55
495.86	1100.99
496.08	1123.72
496.29	1100.17
496.50	1107.95
496.72	1126.38
496.93	1109.18
497.14	1097.71
497.36	1118.19
497.57	1089.93
497.78	1111.23
498.00	1113.28
498.21	1106.31
498.42	1122.08
498.64	1101.81
498.85	1119.62
499.06	1124.74
499.28	1119.42
499.49	1135.39
499.70	1122.49
499.92	1131.91
500.13	1132.32
500.34	1128.02
500.56	1112.25
500.77	1129.45
500.98	1122.70
501.20	1119.62
501.41	1120.85
501.62	1126.18
501.83	1100.37
502.05	1122.29
502.26	1106.72
502.47	1115.53
502.69	1111.02
502.90	1129.66
503.11	1098.74
503.33	1114.09
503.54	1084.60
503.75	1106.52
503.96	1094.43
504.18	1131.30
504.39	1094.23
504.60	1132.94
504.82	1088.09
505.03	1138.67
505.24	1104.47
505.45	1163.66
505.67	1119.21
505.88	1138.06
506.09	1140.10
506.31	1142.15
506.52	1120.24
506.73	1129.86
506.94	1098.74
507.16	1126.18
507.37	1105.08
507.58	1112.05
507.79	1115.12
508.01	1131.91
508.22	1096.48
508.43	1137.44
508.64	1129.86
508.86	1116.55
509.07	1118.81
509.28	1121.26
509.49	1121.06
509.71	1125.56
509.92	1106.72
510.13	1101.19
510.34	1116.76
510.56	1133.14
510.77	1108.77
510.98	1129.05
511.19	1115.53
511.41	1132.73
511.62	1107.13
511.83	1122.08
512.04	1081.53
512.25	1117.37
512.47	1107.34
512.68	1131.50
512.89	1115.32
513.10	1103.04
513.32	1112.66
513.53	1122.70
513.74	1104.88
513.95	1113.48
514.16	1117.37
514.38	1135.80
514.59	1130.89
514.80	1106.72
515.01	1115.32
515.22	1119.42
515.44	1109.79
515.65	1152.19
515.86	1102.42
516.07	1132.73
516.28	1107.34
516.50	1128.43
516.71	1106.52
516.92	1127.41
517.13	1130.48
517.34	1150.34
517.56	1104.26
517.77	1109.79
517.98	1097.92
518.19	1127.61
518.40	1113.28
518.61	1134.17
518.83	1123.72
519.04	1129.25
519.25	1127.61
519.46	1117.58
519.67	1113.48
519.88	1107.34
520.10	1111.02
520.31	1125.77
520.52	1106.11
520.73	1131.09
520.94	1119.42
521.15	1130.89
521.37	1119.83
521.58	1131.30
521.79	1107.34
522.00	1102.22
522.21	1122.70
522.42	1129.25
522.63	1111.02
522.85	1129.66
523.06	1094.23
523.27	1109.18
523.48	1094.02
523.69	1126.18
523.90	1109.18
524.11	1141.33
524.32	1121.06
524.54	1107.34
524.75	1135.60
524.96	1113.69
525.17	1141.74
525.38	1130.48
525.59	1090.75
525.80	1122.08
526.01	1107.13
526.23	1146.45
526.44	1096.48
526.65	1126.59
526.86	1105.90
527.07	1125.15
527.28	1096.28
527.49	1139.29
527.70	1110.82
527.91	1104.88
528.13	1109.38
528.34	1108.36
528.55	1116.55
528.76	1130.89
528.97	1110.00
529.18	1124.13
529.39	1115.53
529.60	1153.01
529.81	1120.65
530.02	1136.83
530.23	1128.02
