X,Y
0,11.977
1,11.609
2,11.506
3,11.655
4,11.540
5,11.345
6,11.460
7,11.540
8,11.368
9,11.287
10,11.218
11,11.287
12,11.230
13,11.506
14,11.437
15,11.747
16,11.851
17,12.379
18,12.322
19,12.897
20,12.920
21,13.678
22,13.621
23,13.356
24,13.437
25,12.724
26,12.724
27,12.046
28,11.609
29,11.207
30,11.402
31,11.218
32,11.241
33,11.276
34,11.299
35,11.241
36,11.345
37,11.264
38,10.966
39,11.000
40,11.080
41,11.103
42,11.230
43,11.437
44,11.310
45,11.862
46,11.736
47,12.092
48,12.356
49,12.931
50,13.034
51,13.966
52,14.023
53,14.218
54,13.954
55,13.276
56,13.184
57,12.299
58,12.195
59,11.701
60,11.839
61,11.747
62,11.391
63,11.276
64,11.149
65,10.977
66,11.230
67,11.218
68,11.149
69,11.276
70,11.322
71,11.195
72,11.195
73,11.149
74,10.966
75,11.425
76,11.310
77,11.701
78,11.885
79,12.529
80,12.736
81,13.816
82,13.885
83,14.713
84,14.908
85,15.632
86,15.483
87,14.724
88,14.885
89,13.575
90,13.195
91,12.609
92,12.333
93,12.149
94,12.103
95,11.897
96,12.241
97,12.241
98,12.092
99,12.161
100,12.126
101,11.908
102,11.851
103,11.966
104,12.138
105,12.621
106,12.644
107,12.690
108,12.391
109,12.851
110,12.931
111,13.897
112,14.230
113,15.425
114,15.253
115,16.989
116,17.207
117,19.253
118,19.322
119,19.713
120,19.724
121,19.494
122,19.632
123,20.540
124,20.575
125,24.632
126,25.207
127,32.264
128,33.149
129,40.333
130,41.034
131,49.747
132,50.540
133,58.000
134,58.609
135,61.690
136,61.690
137,59.425
138,58.862
139,51.736
140,50.874
141,42.529
142,41.897
143,35.839
144,35.023
145,33.253
146,33.805
147,34.793
148,34.805
149,39.218
150,39.908
151,46.885
152,47.701
153,55.276
154,55.885
155,64.184
156,64.908
157,73.793
158,74.851
159,82.782
160,83.690
161,92.920
162,93.759
163,100.368
164,101.644
165,102.471
166,103.184
167,103.057
168,101.977
169,96.575
170,94.172
171,74.391
172,73.080
173,58.471
174,56.897
175,49.345
176,48.931
177,45.115
178,45.092
179,44.713
180,44.747
181,47.046
182,47.080
183,48.678
184,49.195
185,53.724
186,54.218
187,62.805
188,63.494
189,73.989
190,75.345
191,81.943
192,82.414
193,87.563
194,88.368
195,99.080
196,100.713
197,102.552
198,105.598
199,106.103
200,107.276
201,107.264
202,106.046
203,105.529
204,101.828
205,82.609
206,78.437
207,53.322
208,51.989
209,43.034
210,43.011
211,40.759
212,40.264
213,39.954
214,39.770
215,41.368
216,41.425
217,42.184
218,42.471
219,43.138
220,43.356
221,45.678
222,45.966
223,53.080
224,53.977
225,63.287
226,64.379
227,74.207
228,75.034
229,83.345
230,84.184
231,92.333
232,93.402
233,100.759
234,102.954
235,103.494
236,107.057
237,107.874
238,110.253
239,110.092
240,106.954
241,106.460
242,104.839
243,104.230
244,98.931
245,64.414
246,61.839
247,47.057
248,46.080
249,40.264
250,40.115
251,38.920
252,38.759
253,38.345
254,38.425
255,39.885
256,39.989
257,40.989
258,41.080
259,40.724
260,40.724
261,42.299
262,42.552
263,46.540
264,47.000
265,52.954
266,53.770
267,62.989
268,63.770
269,72.402
270,73.414
271,82.644
272,83.333
273,91.690
274,92.678
275,100.172
276,101.920
277,102.391
278,104.989
279,105.598
280,109.080
281,109.540
282,109.632
283,109.253
284,106.931
285,106.586
286,104.609
287,104.069
288,100.747
289,82.184
290,78.701
291,55.057
292,53.460
293,45.138
294,45.046
295,41.598
296,41.034
297,39.529
298,39.517
299,39.943
300,40.034
301,40.046
302,40.057
303,40.874
304,40.655
305,41.345
306,41.540
307,43.264
