A,R
0,0
0.35,0.1232
0.87,0.2345
1.04,0.4366
1.39,0.5965
1.65,0.7180
1.91,0.8362
2.26,0.9989
2.61,1.1580
2.87,1.2788
3.04,1.3544
3.22,1.433
3.48,1.5469
3.65,1.6178
3.91,1.7130
4.17,1.7951
4.43,1.87
4.78,1.9582
4.96,2.0017
